acp_iso3,year,n_eu_missing
ERI,2013,28
ERI,2014,28
ERI,2015,28
ERI,2016,28
ERI,2017,28
ERI,2018,28
ERI,2019,28
ERI,2020,28
SOM,2013,28
SOM,2014,28
SOM,2015,28
SOM,2016,28
SOM,2017,28
SOM,2018,28
SOM,2019,28
SOM,2020,28
AGO,2021,27
ATG,2021,27
BDI,2021,27
BEN,2021,27
BFA,2021,27
BHS,2021,27
BLZ,2021,27
BRB,2021,27
BWA,2021,27
CAF,2021,27
CIV,2021,27
CMR,2021,27
COD,2021,27
COG,2021,27
COK,2021,27
COM,2021,27
CPV,2021,27
DJI,2021,27
DMA,2021,27
DOM,2021,27
ERI,2012,27
ERI,2021,27
ETH,2021,27
FJI,2021,27
FSM,2021,27
GAB,2021,27
GHA,2021,27
GIN,2021,27
GMB,2021,27
GNB,2021,27
GNQ,2021,27
GRD,2021,27
GUY,2021,27
HTI,2021,27
JAM,2021,27
KEN,2021,27
KIR,2021,27
KNA,2021,27
LBR,2021,27
LCA,2021,27
LSO,2021,27
MDG,2021,27
MHL,2021,27
MLI,2021,27
MOZ,2021,27
MRT,2021,27
MUS,2021,27
MWI,2021,27
NAM,2021,27
NER,2021,27
NGA,2021,27
NIU,2021,27
NRU,2021,27
PLW,2021,27
PNG,2021,27
RWA,2021,27
SDN,2021,27
SEN,2021,27
SLB,2021,27
SLE,2021,27
SOM,2007,27
SOM,2008,27
SOM,2009,27
SOM,2010,27
SOM,2011,27
SOM,2012,27
SOM,2021,27
STP,2021,27
SUR,2021,27
SWZ,2021,27
SYC,2021,27
TCD,2021,27
TGO,2021,27
TLS,2021,27
TON,2021,27
TTO,2021,27
TUV,2021,27
TZA,2021,27
UGA,2021,27
VCT,2021,27
VUT,2021,27
WSM,2021,27
ZAF,2021,27
ZMB,2021,27
ZWE,2021,27
SOM,2004,25
SOM,2005,25
SOM,2006,25
SOM,2000,15
SOM,2001,15
SOM,2002,15
SOM,2003,15
TLS,2000,15
TLS,2001,15
