type,specification,variable,coefficient,std_error,t,sig,n
Gravity,M1: Baseline PPML,ln_dist,-1.6198,0.9957,-1.6268,,41258
Gravity,M1: Baseline PPML,lang,0.886,0.2155,4.1106,***,41258
Gravity,M1: Baseline PPML,colonial,0.3438,0.2004,1.7157,*,41258
Gravity,M1: Baseline PPML,epa,-0.0234,0.0657,-0.3561,,41258
Gravity,M2: Main PPML,ln_dist,-1.628,0.9951,-1.6361,,41258
Gravity,M2: Main PPML,lang,0.8855,0.21560000000000001,4.1066,***,41258
Gravity,M2: Main PPML,colonial,0.3435,0.2001,1.7165,*,41258
Gravity,M2: Main PPML,epa,-0.0462,0.0666,-0.6935,,41258
Main,M2: Main PPML,it_share,-2.2868,0.6042,-3.7851,***,41258
Main,M3c: Net EPA at mean IT Share,epa,-0.0507,0.0628,-0.8071,,41258
Main,M5: OLS ln(trade),it_share,-1.6728,0.4581,-3.652,***,38559
Main,M5b: OLS ln(1+trade),it_share,-1.516,0.4205,-3.6051,***,41258
Main,NB-PML,it_share,-2.2839,0.5311,-4.3,***,41258
Main,+ ACP GDP/pop,it_share,-1.7675,0.5665,-3.1198,***,40432
Mechanical,Ex-EU denominator,it_share_exeu,-0.258,0.4773,-0.5405,,41258
Mechanical,EU component fixed,it_share_fixeu,-0.2889,0.6612,-0.437,,41258
Mechanical,Log decomp (total): ln(intra),ln_intra,0.0145,0.0479,0.3028,,40898
Mechanical,Log decomp (total): ln(total),ln_total,0.6876,0.0745,9.2341,***,40898
Mechanical,Log decomp (clean): ln(intra),ln_intra,0.0993,0.0529,1.8782,*,40898
Mechanical,Log decomp (clean): ln(non-EU),ln_noneu,0.3489,0.0645,5.4113,***,40898
Mechanical,IT Share x EU share,it_share:s_eu_dev,-0.4327,2.672,-0.1619,,41258
Mechanical,Disjoint: ln(intra),ln_intra,0.1326,0.0533,2.4882,**,40898
Mechanical,Disjoint: ln(extra non-EU),ln_extra,0.2863,0.0616,4.6449,***,40898
Mechanical,"Baseline, log-spec sample",it_share,-2.4677,0.6432,-3.8364,***,40898
Restriction,Overlapping (clean): Bilateral,ln_intra + ln_noneu,0.4482,0.0812,5.5197,***,40898
Restriction,Overlapping (clean): ACP->EU,ln_intra + ln_noneu,0.3845,0.1041,3.6936,***,40898
Restriction,Overlapping (clean): EU->ACP,ln_intra + ln_noneu,0.483,0.0719,6.7177,***,40898
Restriction,Disjoint: Bilateral,ln_intra + ln_extra,0.4189,0.0808,5.1844,***,40898
Restriction,Disjoint: ACP->EU,ln_intra + ln_extra,0.3353,0.104,3.224,***,40898
Restriction,Disjoint: EU->ACP,ln_intra + ln_extra,0.4766,0.0698,6.8281,***,40898
Restriction,Side-matched: EU->ACP,ln_intra_m + ln_noneu_m,0.5372,0.0542,9.9114,***,40868
Restriction,Side-matched: ACP->EU,ln_intra_x + ln_noneu_x,0.1907,0.0695,2.7439,***,40722
Direction,D1: ACP exports to EU,it_share,-2.5093,0.9623,-2.6075,***,41258
Direction,D2: EU exports to ACP,it_share,-2.0162,0.454,-4.4412,***,41258
Direction,D3: EU exports + GDP/pop,it_share,-1.7472,0.498,-3.5082,***,40432
Direction,"D4: ACP exports, ex-EU denom",it_share_exeu,0.8032,0.7135,1.1258,,41258
Direction,"D5: EU exports, ex-EU denom",it_share_exeu,-1.1821,0.3068,-3.8532,***,41258
Direction,"D6: ACP exports, EU fixed",it_share_fixeu,1.2121,0.9694,1.2504,,41258
Direction,"D7: EU exports, EU fixed",it_share_fixeu,-1.554,0.4288,-3.6239,***,41258
Direction,"D8: ACP exports, ln(intra)",ln_intra,0.1906,0.075,2.5433,**,40898
Direction,"D9: EU exports, ln(intra)",ln_intra,0.0854,0.0425,2.0093,**,40898
Direction,"D10: ACP exports, export denom",it_share_exeu_x,0.3586,0.3492,1.0269,,41258
Direction,"D11: EU exports, import denom",it_share_exeu_m,-1.1804,0.2606,-4.53,***,41258
Direction,"D12: EU exports, ln(intra imports)",ln_intra_m,-0.0294,0.0244,-1.2041,,40868
Direction,"D13: ACP exports, ln(intra exports)",ln_intra_x,0.1466,0.0433,3.3868,***,40722
REC (interaction),ECOWAS,it_ECOWAS,-3.3421,0.529,-6.3182,***,41258
REC (interaction),Central Africa,it_CAF,1.8234,2.2136,0.8237,,41258
REC (interaction),SADC,it_SADC,-3.4394,1.1302,-3.0432,***,41258
REC (interaction),EAC,it_EAC,-0.2445,0.9309,-0.2626,,41258
REC (interaction),ESA,it_ESA,-1.7118,1.1682,-1.4653,,41258
REC (interaction),CARIFORUM,it_CARIFORUM,-2.5364,1.0288,-2.4655,**,41258
REC (interaction),PIF,it_PIF,-26.3062,12.9338,-2.0339,**,41258
Sample,From 1995,it_share,-2.5549,0.6393,-3.9964,***,45731
Sample,From 2007,it_share,-1.7535,0.5189,-3.3791,***,31388
Sample,Excl. South Africa,it_share,-2.1504,0.5636,-3.8154,***,40710
Sample,Excl. Nigeria,it_share,-1.9267,0.5398,-3.5694,***,40710
Sample,Excl. SOM+ERI,it_share,-2.287,0.6047,-3.7821,***,40710
Sample,Excl. SACU,it_share,-1.9541,0.6262,-3.1207,***,38518
Sample,Excl. GBR,it_share,-2.0423,0.5804,-3.5185,***,39684
Sample,Africa only,it_share,-2.1641,0.6616,-3.2711,***,24863
