contrast,delta,pct,ci_lo,ci_hi
+1 standard deviation,0.1284,-25.5,-36,-13.2
p25 to p75 (interquartile),0.1414,-27.6,-38.8,-14.4
p10 to p90,0.2526,-43.9,-58.4,-24.3
Pooled mean to ECOWAS mean,0.0204,-4.6,-6.8,-2.2
Pooled mean to Central Africa mean,-0.0613,15,7,23.7
Pooled mean to SADC mean,0.2127,-38.5,-52.2,-20.9
Pooled mean to EAC mean,0.02,-4.5,-6.7,-2.2
Pooled mean to ESA mean,-0.0765,19.1,8.8,30.4
Pooled mean to CARIFORUM mean,0.0304,-6.7,-10,-3.3
Pooled mean to PIF mean,-0.0751,18.7,8.6,29.8
